"sample_ID","StationID","StationName","Depth","Latitude [degrees_north]","Longitude [degrees_east]","Bot_Depth [m]","Depth[m]","16S sample","Temperature","Salinity","Water_mass","Chla_fluor","NO3+NO2","QF","SD","QF","NO2","QF","SD","QF","NO3","SiO3","QF","SD","QF","PO4","QF","SD","QF","NH4","QF","SD","QF","3.76","4","0.01","4","3.75","0.01"
"3","PS99/042-01","HG4","BATHY","79.065","4.185","2461","2462","","-0.7298","34.9176","EBDW","","14.65","0","0.09","0","-0.02","0","0","0","14.67","11.59","0","0.03","1","0.99","0","0","0","-0.84","1","0","1","1.77","0","0.07","0","1.74","0.03"
"31","PS99/059-2","HG9","DCM","79.134","2.841","5569","24","X59","-1.244","35.0892","PSWw","1.895","1.77","0","0.07","0","0.03","0","0","0","1.74","1.72","0","0.02","0","0.66","8","0","8","-0.04","1","0.02","1","11.22","0","0.02","0","10.97","0.25"
"30","PS99/059-2","HG9","EPI","79.134","2.841","5569","100","","3.9175","35.0467","AW","0.09","11.22","0","0.02","0","0.25","0","0","0","10.97","3.7","0","0.03","0","1.1","8","0.04","8","0.47","1","0.28","1","13.58","0","0.04","0","13.59","-0.01"
"34","PS99/059-2","HG9","MESO","79.134","2.841","5569","1000","","-0.187","34.8967","EBDW","","13.58","0","0.04","0","-0.01","0","0","0","13.59","6.82","0","0.01","0","1.14","8","0.17","8","-0.02","1","0.17","1","15.22","0","0.02","0","15.23","-0.01"
"35","PS99/059-2","HG9","BATHY","79.134","2.841","5569","2499","","-0.718","34.9191","EBDW","","15.22","0","0.02","0","-0.01","0","0","0","15.23","11.11","0","0.03","0","1.24","8","0.03","8","-0.07","1","0","1","15.02","0","0.03","0","15.04","-0.02"
"36","PS99/059-2","HG9","ABYSS","79.134","2.841","5569","5500","","-0.4339","34.9231","EBDW","","15.02","0","0.03","0","-0.02","0","0","0","15.04","11.27","0","0.11","0","0.98","8","0.26","8","-0.03","1","0.02","1","3.39","0","0.01","0","3.33","0.06"
"24","PS99/055-1","N4","DCM","79.739","4.508","2708","22","X53","2.6586","33.989","PSWw","2.206","3.39","0","0.01","0","0.06","0","0","0","3.33","1.65","0","0","0","0.52","0","0.01","0","0.29","1","0.03","1","10.84","0","0","0","10.64","0.2"
"25","PS99/055-1","N4","EPI","79.739","4.508","2708","100","","3.9415","35.0819","AW","0.062","10.84","0","0","0","0.2","0","0","0","10.64","3.9","0","0","0","0.98","0","0.03","0","0.42","1","0.01","1","13.96","0","0.14","0","13.96","0"
"26","PS99/055-7","N4","MESO","79.739","4.508","2708","1000","","-0.4055","34.9111","EBDW","","13.96","0","0.14","0","0","0","0.01","0","13.96","9.07","0","0.19","0","0.92","0","0","0","-0.03","1","0.01","1","14.46","0","0.01","0","14.47","-0.01"
"27","PS99/055-7","N4","BATHY","79.739","4.508","2708","2500","","-0.7365","34.9232","EBDW","","14.46","0","0.01","0","-0.01","0","0.02","0","14.47","11.24","0","0.14","0","0.86","0","","1","-0.08","1","0","1","1.02","0","0.01","0","0.97","0.05"
"20","PS99/053-2","N5","DCM","79.921","3.062","2604","19","","0.7523","33.5877","PSWw","7.402","1.02","0","0.01","0","0.05","0","0.01","0","0.97","0.71","0","0.01","0","0.5","8","0.04","8","-0.1","1","0.04","1","10.28","0","0.09","0","10.05","0.23"
"21","PS99/053-2","N5","EPI","79.921","3.062","2604","100","","4.2678","35.1005","AW","0.056","10.28","0","0.09","0","0.23","0","0","0","10.05","3.22","0","0.08","0","1.08","8","0.06","8","0.42","1","0.01","1","13.04","0","0.21","0","13.04","0"
"22","PS99/053-2","N5","MESO","79.921","3.062","2604","1000","","-0.2288","34.9123","EBDW","","13.04","0","0.21","0","0","0","0.02","0","13.04","6.5","0","0.02","0","1.48","8","0.01","8","-0.11","1","0","1","14.28","0","0.08","0","14.29","-0.01"
"23","PS99/053-2","N5","BATHY","79.921","3.062","2604","2427","","-0.7383","34.9222","EBDW","","14.28","0","0.08","0","-0.01","0","0","0","14.29","10.79","0","0.01","0","1.55","8","0","8","-0.1","1","0.01","1","3.04","0","0","0","2.96","0.08"
"41","PS99/064-2","SV2","DCM","78.981","9.514","230","33","X87","4.1191","35.5415","AW","1.695","3.04","0","0","0","0.08","0","0","0","2.96","3.02","4","1.75","4","0.5","8","0.01","8","3.31","1","0.03","1","9.05","0","0.16","0","8.67","0.38"
"42","PS99/064-2","SV2","EPI","78.981","9.514","230","100","","2.829","34.9819","AW","0.014","9.05","0","0.16","0","0.38","0","0","0","8.67","2.87","4","2.2","4","0.88","8","0","8","1.68","1","0.01","1","14.92","0","0.03","0","14.95","-0.03"
"32","PS99/056-1","HG2","BATHY","79.134","4.907","1544","1492","","-0.8139","34.9096","EBDW","","14.92","0","0.03","0","-0.03","0","0","0","14.95","12.35","0","0.02","0","1.74","8","0.07","8","-0.2","1","0","1","6.24","0","0.01","0","6.15","0.09"
"28","PS99/056-1","HG2","DCM","79.134","4.907","1544","22","","2.2989","34.8952","AW","2.233","6.24","0","0.01","0","0.09","0","0","0","6.15","2.74","0","0.02","0","0.87","8","0","8","0.94","1","0","1","11.04","0","0","0","10.84","0.2"
"29","PS99/056-1","HG2","EPI","79.134","4.907","1544","100","","3.599","35.0439","AW","0.073","11.04","0","0","0","0.2","0","0.01","0","10.84","3.88","0","0.11","0","1.27","8","0.01","8","-0.1","1","0.01","1","14.12","0","0.17","0","14.15","-0.03"
"33","PS99/056-1","HG2","MESO","79.134","4.907","1544","1000","","-0.5765","34.9093","EBDW","","14.12","0","0.17","0","-0.03","0","0","0","14.15","9.33","0","0.06","0","1.66","8","0.01","8","-0.19","1","0.01","1","5.19","1","0.05","1","5.1","0.09"
"7","PS99/044-1","HG5","DCM","79.066","3.66","3116","25","X7","1.7348","32.3625","PSWw","4.241","5.19","1","0.05","1","0.09","1","0","1","5.1","3.19","1","0.01","1","0.5","1","0","1","0.5","1","0.02","1","11.35","1","0.05","1","11.26","0.09"
"5","PS99/044-1","HG5","EPI","79.066","3.66","3116","100","","3.9421","35.089","AW","0.064","11.35","1","0.05","1","0.09","1","0","1","11.26","4.75","1","0.03","1","0.75","1","0","1","-0.13","1","0.01","1","","","","","",""
"6","PS99/044-1","HG5","MESO","79.066","3.66","3116","2600","","-0.7332","34.9243","EBDW","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8","PS99/044-1","HG5","BATHY","79.066","3.66","3116","3038","","-0.7004","34.9247","EBDW","","","","","","","","","","","","","","","","","","","","","","","8.26","0","0.11","0","8.09","0.17"
"37","PS99/054-1","N3","DCM","79.583","5.166","2778","34","","3.2782","34.4029","PSWw","0.952","8.26","0","0.11","0","0.17","0","0","0","8.09","3.19","0","0.05","0","0.7","4","0","4","1.29","1","0","1","10.3","0","0.07","0","10.11","0.19"
"38","PS99/054-1","N3","EPI","79.583","5.166","2778","100","","4.2459","35.0988","AW","0.059","10.3","0","0.07","0","0.19","0","0","0","10.11","3.29","0","0.04","0","0.76","4","0","4","0.47","1","0.01","1","13.49","0","0.03","0","13.51","-0.02"
"39","PS99/054-1","N3","MESO","79.583","5.166","2778","1000","","-0.3268","34.909","EBDW","","13.49","0","0.03","0","-0.02","0","0","0","13.51","7.25","0","0","0","1.03","4","0","4","-0.09","1","0","1","","","","","",""
"40","PS99/054-1","N3","BATHY","79.583","5.166","2778","2500","","-0.7217","34.9237","EBDW","","","","","","","","","","","","","","","","","","","","","","","5.36","1","0.02","1","5.24","0.12"
"9","PS99/046-1","HG7","DCM","79.05","3.53","3813","35","","3.728","33.9573","PSWw","4.455","5.36","1","0.02","1","0.12","1","0","1","5.24","2.84","1","0.2","1","0.51","1","0","1","0.48","1","0","1","10.53","1","0.05","1","10.35","0.18"
"10","PS99/046-1","HG7","EPI","79.05","3.53","3813","100","","3.3837","35.0159","AW","0.067","10.53","1","0.05","1","0.18","1","0.02","1","10.35","4.21","1","0.02","1","0.73","1","0","1","0.09","1","0","1","","","","","",""
"11","PS99/046-1","HG7","MESO","79.05","3.53","3813","1005","","-0.2752","34.9084","EBDW","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12","PS99/046-1","HG7","BATHY","79.05","3.53","3813","3772","","-0.6295","34.9243","EBDW","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
